DATE,DGS1,DGS2,DGS5,DGS10
11/5/14,0.11,0.52,1.63,3.95
11/6/14,0.12,0.54,1.67,.
11/7/14,0.12,0.51,1.6,3.95
11/10/14,0.13,0.55,1.65,3.95
11/11/14,.,.,.,3.95
11/12/14,0.14,0.55,1.65,3.94
11/13/14,0.15,0.53,1.64,3.93
11/14/14,0.15,0.54,1.62,3.92
11/17/14,0.15,0.54,1.64,3.92
11/18/14,0.14,0.53,1.63,3.91
11/19/14,0.15,0.54,1.66,3.92
11/20/14,0.14,0.53,1.64,3.92
11/21/14,0.14,0.53,1.63,3.92
11/24/14,0.14,0.53,1.62,3.92
11/25/14,0.14,0.51,1.58,3.92
11/26/14,0.14,0.53,1.56,3.92
11/27/14,.,.,.,3.92
11/28/14,0.13,0.47,1.49,3.92
12/1/14,0.13,0.49,1.52,3.92
12/2/14,0.14,0.55,1.59,3.92
12/3/14,0.15,0.57,1.61,3.92
12/4/14,0.14,0.55,1.59,3.93
12/5/14,0.18,0.65,1.69,3.94
12/8/14,0.18,0.64,1.67,3.96
12/9/14,0.23,0.64,1.63,3.96
12/10/14,0.21,0.59,1.58,3.96
12/11/14,0.21,0.62,1.62,3.95
12/12/14,0.19,0.56,1.53,3.95
12/15/14,0.22,0.6,1.58,3.96
12/16/14,0.21,0.58,1.53,3.96
12/17/14,0.23,0.62,1.61,3.95
12/18/14,0.25,0.67,1.68,3.95
12/19/14,0.26,0.67,1.66,3.97
12/22/14,0.28,0.71,1.67,3.98
12/23/14,0.26,0.73,1.76,4
12/24/14,0.26,0.73,1.76,4
12/25/14,.,.,.,.
12/26/14,0.26,0.73,1.75,4.01
12/29/14,0.25,0.72,1.72,4
12/30/14,0.23,0.69,1.68,4
12/31/14,0.25,0.67,1.65,3.99
1/1/15,.,.,.,3.97
1/2/15,0.25,0.66,1.61,3.97
1/5/15,0.26,0.68,1.57,3.97
1/6/15,0.25,0.65,1.5,3.96
1/7/15,0.25,0.62,1.47,3.95
1/8/15,0.23,0.62,1.5,3.95
1/9/15,0.22,0.59,1.45,3.95
1/12/15,0.19,0.56,1.39,3.95
1/13/15,0.2,0.54,1.37,3.94
1/14/15,0.18,0.51,1.33,3.94
1/15/15,0.16,0.44,1.22,3.93
1/16/15,0.17,0.49,1.29,3.92
1/19/15,.,.,.,3.91
1/20/15,0.17,0.53,1.31,3.92
1/21/15,0.17,0.53,1.35,3.93
1/22/15,0.17,0.53,1.39,3.93
1/23/15,0.17,0.52,1.33,3.92
1/26/15,0.18,0.54,1.36,3.91
1/27/15,0.17,0.54,1.34,3.91
1/28/15,0.17,0.5,1.25,3.9
1/29/15,0.17,0.51,1.28,3.92
1/30/15,0.18,0.47,1.18,3.93
2/2/15,0.17,0.49,1.19,3.92
2/3/15,0.21,0.52,1.28,3.92
2/4/15,0.2,0.52,1.29,3.93
2/5/15,0.2,0.52,1.3,3.95
2/6/15,0.26,0.65,1.48,3.95
2/9/15,0.24,0.65,1.49,3.96
2/10/15,0.25,0.67,1.52,3.96
2/11/15,0.24,0.67,1.53,.
2/12/15,0.23,0.61,1.5,3.96
2/13/15,0.23,0.66,1.53,3.98
2/16/15,.,.,.,3.98
2/17/15,0.25,0.7,1.62,3.98
2/18/15,0.23,0.62,1.52,3.99
2/19/15,0.23,0.67,1.58,3.99
2/20/15,0.23,0.67,1.61,3.99
2/23/15,0.22,0.64,1.56,3.98
2/24/15,0.22,0.6,1.47,3.99
2/25/15,0.21,0.61,1.47,3.99
2/26/15,0.22,0.66,1.54,3.99
2/27/15,0.22,0.63,1.5,4
3/2/15,0.22,0.66,1.57,4
3/3/15,0.26,0.68,1.61,4
3/4/15,0.26,0.66,1.6,4
3/5/15,0.25,0.65,1.57,4
3/6/15,0.27,0.73,1.7,4
3/9/15,0.27,0.7,1.66,4
3/10/15,0.25,0.7,1.62,4
3/11/15,0.25,0.7,1.6,4
3/12/15,0.24,0.67,1.59,4
3/13/15,0.24,0.68,1.6,4.01
3/16/15,0.26,0.66,1.57,4.03
3/17/15,0.27,0.7,1.56,4.03
3/18/15,0.23,0.57,1.41,.
3/19/15,0.26,0.63,1.48,4.04
3/20/15,0.24,0.6,1.42,4.05
3/23/15,0.24,0.6,1.41,4.04
3/24/15,0.24,0.58,1.37,4.03
3/25/15,0.25,0.59,1.41,4.04
3/26/15,0.28,0.61,1.47,4.03
3/27/15,0.27,0.58,1.42,4.02
3/30/15,0.27,0.58,1.41,4.02
3/31/15,0.26,0.56,1.37,4.03
4/1/15,0.27,0.55,1.32,4.02
4/2/15,0.25,0.55,1.35,4.02
4/3/15,0.21,0.49,1.26,4.02
4/6/15,0.21,0.51,1.31,4.02
4/7/15,0.22,0.52,1.32,4.01
4/8/15,0.22,0.54,1.35,4.01
4/9/15,0.22,0.56,1.4,3.99
4/10/15,0.24,0.57,1.41,3.99
4/13/15,0.23,0.54,1.38,4
4/14/15,0.23,0.53,1.34,4
4/15/15,0.23,0.51,1.33,3.99
4/16/15,0.22,0.5,1.31,3.99
4/17/15,0.23,0.51,1.31,3.99
4/20/15,0.24,0.55,1.33,4
4/21/15,0.23,0.55,1.35,4.01
4/22/15,0.23,0.57,1.41,4
4/23/15,0.24,0.55,1.37,4
4/24/15,0.24,0.54,1.34,4.01
4/27/15,0.25,0.54,1.36,4.02
4/28/15,0.24,0.56,1.39,4.02
4/29/15,0.25,0.56,1.43,4.01
4/30/15,0.24,0.58,1.43,4
5/1/15,0.25,0.6,1.5,3.99
5/4/15,0.25,0.6,1.51,3.99
5/5/15,0.24,0.62,1.54,4
5/6/15,0.25,0.65,1.58,4
5/7/15,0.24,0.63,1.55,4
5/8/15,0.23,0.59,1.5,4
5/11/15,0.25,0.62,1.59,4
5/12/15,0.25,0.61,1.58,4
5/13/15,0.24,0.59,1.57,4.01
5/14/15,0.23,0.56,1.51,4.02
5/15/15,0.23,0.55,1.46,.
5/18/15,0.22,0.58,1.54,4.03
5/19/15,0.23,0.63,1.6,4.04
5/20/15,0.23,0.6,1.57,4.08
5/21/15,0.22,0.6,1.53,4.09
5/22/15,0.23,0.64,1.57,4.09
