DATE,MVPHGFD027MNFRBDAL
1990-10-01,2269.0
1990-11-01,2332.9
1990-12-01,2358.4
1991-01-01,2399.1
1991-02-01,2430.9
1991-03-01,2433.7
1991-04-01,2426.7
1991-05-01,2458.9
1991-06-01,2456.0
1991-07-01,2507.1
1991-08-01,2555.1
1991-09-01,2597.5
1991-10-01,2643.6
1991-11-01,2680.0
1991-12-01,2741.6
1992-01-01,2719.3
1992-02-01,2738.8
1992-03-01,2760.5
1992-04-01,2764.0
1992-05-01,2830.7
1992-06-01,2852.7
1992-07-01,2886.9
1992-08-01,2948.1
1992-09-01,2983.4
1992-10-01,2926.8
1992-11-01,2994.4
1992-12-01,2991.6
1993-01-01,3020.4
1993-02-01,3080.5
1993-03-01,3106.7
1993-04-01,3115.0
1993-05-01,3126.2
1993-06-01,3180.0
1993-07-01,3171.2
1993-08-01,3254.7
1993-09-01,3268.4
1993-10-01,3246.2
1993-11-01,3261.8
1993-12-01,3260.6
1994-01-01,3276.9
1994-02-01,3239.3
1994-03-01,3206.1
1994-04-01,3150.3
1994-05-01,3153.0
1994-06-01,3131.3
1994-07-01,3162.1
1994-08-01,3204.4
1994-09-01,3141.9
1994-10-01,3162.1
1994-11-01,3178.8
1994-12-01,3153.4
1995-01-01,3201.7
1995-02-01,3274.7
1995-03-01,3288.6
1995-04-01,3274.3
1995-05-01,3407.2
1995-06-01,3393.1
1995-07-01,3395.3
1995-08-01,3429.0
1995-09-01,3429.4
1995-10-01,3463.4
1995-11-01,3516.0
1995-12-01,3511.7
1996-01-01,3526.2
1996-02-01,3503.4
1996-03-01,3507.5
1996-04-01,3438.6
1996-05-01,3435.1
1996-06-01,3446.8
1996-07-01,3458.5
1996-08-01,3457.3
1996-09-01,3474.7
1996-10-01,3525.4
1996-11-01,3594.1
1996-12-01,3551.5
1997-01-01,3512.2
1997-02-01,3537.0
1997-03-01,3522.9
1997-04-01,3446.7
1997-05-01,3485.1
1997-06-01,3470.7
1997-07-01,3542.0
1997-08-01,3509.5
1997-09-01,3525.1
1997-10-01,3561.3
1997-11-01,3581.0
1997-12-01,3569.4
1998-01-01,3598.7
1998-02-01,3604.8
1998-03-01,3614.5
1998-04-01,3526.0
1998-05-01,3548.5
1998-06-01,3529.3
1998-07-01,3516.4
1998-08-01,3608.4
1998-09-01,3604.9
1998-10-01,3603.4
1998-11-01,3598.1
1998-12-01,3571.9
1999-01-01,3562.7
1999-02-01,3480.1
1999-03-01,3495.0
1999-04-01,3401.3
1999-05-01,3362.2
1999-06-01,3314.2
1999-07-01,3308.2
1999-08-01,3314.6
1999-09-01,3272.4
1999-10-01,3273.3
1999-11-01,3255.3
1999-12-01,3281.5
2000-01-01,3168.6
2000-02-01,3206.0
2000-03-01,3274.5
2000-04-01,3150.0
2000-05-01,3075.9
2000-06-01,3075.2
2000-07-01,3049.9
2000-08-01,3073.0
2000-09-01,3034.5
2000-10-01,2993.1
2000-11-01,3059.1
2000-12-01,3056.4
2001-01-01,3035.5
2001-02-01,3059.1
2001-03-01,3091.4
2001-04-01,2912.1
2001-05-01,2885.6
2001-06-01,2878.6
2001-07-01,2894.3
2001-08-01,2979.3
2001-09-01,3009.6
2001-10-01,3036.5
2001-11-01,3032.0
2001-12-01,2988.9
2002-01-01,2967.9
2002-02-01,3033.7
2002-03-01,2988.4
2002-04-01,2961.1
2002-05-01,2983.9
2002-06-01,3038.8
2002-07-01,3092.2
2002-08-01,3191.8
2002-09-01,3221.4
2002-10-01,3241.0
2002-11-01,3280.1
2002-12-01,3297.0
2003-01-01,3271.1
2003-02-01,3337.4
2003-03-01,3343.8
2003-04-01,3325.3
2003-05-01,3475.6
2003-06-01,3492.0
2003-07-01,3473.0
2003-08-01,3518.3
2003-09-01,3549.2
2003-10-01,3570.5
2003-11-01,3599.9
2003-12-01,3600.2
2004-01-01,3636.0
2004-02-01,3735.6
2004-03-01,3769.8
2004-04-01,3679.5
2004-05-01,3710.8
2004-06-01,3693.7
2004-07-01,3767.6
2004-08-01,3840.3
2004-09-01,3835.3
2004-10-01,3849.2
2004-11-01,3891.5
2004-12-01,3904.2
2005-01-01,3932.8
2005-02-01,3980.9
2005-03-01,4031.5
2005-04-01,4047.3
2005-05-01,4057.0
2005-06-01,4046.5
2005-07-01,4045.2
2005-08-01,4089.8
2005-09-01,4048.0
2005-10-01,4057.5
2005-11-01,4087.9
2005-12-01,4136.1
2006-01-01,4128.6
2006-02-01,4161.5
2006-03-01,4210.5
2006-04-01,4139.9
2006-05-01,4087.0
2006-06-01,4095.3
2006-07-01,4144.5
2006-08-01,4239.1
2006-09-01,4207.5
2006-10-01,4244.1
2006-11-01,4313.0
2006-12-01,4240.4
2007-01-01,4216.3
2007-02-01,4316.9
2007-03-01,4405.9
2007-04-01,4358.7
2007-05-01,4287.1
2007-06-01,4233.1
2007-07-01,4333.5
2007-08-01,4463.2
2007-09-01,4425.2
2007-10-01,4438.3
2007-11-01,4636.1
2007-12-01,4635.0
2008-01-01,4747.7
2008-02-01,4903.0
2008-03-01,5083.2
2008-04-01,4971.1
2008-05-01,5013.9
2008-06-01,5049.1
2008-07-01,5165.0
2008-08-01,5256.0
2008-09-01,5579.9
2008-10-01,6012.8
2008-11-01,6261.5
2008-12-01,6348.8
2009-01-01,6208.9
2009-02-01,6442.0
2009-03-01,6778.8
2009-04-01,6700.3
2009-05-01,6691.1
2009-06-01,6765.9
2009-07-01,6887.8
2009-08-01,7004.7
2009-09-01,7065.9
2009-10-01,6999.5
2009-11-01,7277.4
2009-12-01,7243.5
2010-01-01,7255.9
2010-02-01,7422.4
2010-03-01,7716.8
2010-04-01,7914.1
2010-05-01,8043.1
2010-06-01,8264.8
2010-07-01,8359.1
2010-08-01,8680.0
2010-09-01,8737.1
2010-10-01,8748.7
2010-11-01,8815.3
2010-12-01,8688.7
2011-01-01,8661.0
2011-02-01,8625.5
2011-03-01,8567.2
2011-04-01,8561.3
2011-05-01,8575.4
2011-06-01,8461.0
2011-07-01,8561.8
2011-08-01,8949.5
2011-09-01,9136.3
2011-10-01,9217.4
2011-11-01,9354.8
2011-12-01,9463.7
2012-01-01,9617.2
2012-02-01,9696.8
2012-03-01,9735.8
2012-04-01,9877.8
2012-05-01,10082.6
2012-06-01,10064.8
2012-07-01,10220.1
2012-08-01,10346.9
2012-09-01,10303.6
2012-10-01,10413.5
2012-11-01,10573.3
2012-12-01,10542.9
2013-01-01,10391.7
2013-02-01,10641.7
2013-03-01,10685.8
