DATE,USPRIV
1972-09-01,60688
1972-10-01,61067
1972-11-01,61324
1972-12-01,61586
1973-01-01,61931
1973-02-01,62306
1973-03-01,62540
1973-04-01,62678
1973-05-01,62829
1973-06-01,63015
1973-07-01,63046
1973-08-01,63262
1973-09-01,63384
1973-10-01,63629
1973-11-01,63877
1973-12-01,63965
1974-01-01,64014
1974-02-01,64119
1974-03-01,64144
1974-04-01,64191
1974-05-01,64326
1974-06-01,64363
1974-07-01,64347
1974-08-01,64291
1974-09-01,64189
1974-10-01,64145
1974-11-01,63729
1974-12-01,63098
1975-01-01,62673
1975-02-01,62172
1975-03-01,61895
1975-04-01,61666
1975-05-01,61796
1975-06-01,61736
1975-07-01,61908
1975-08-01,62285
1975-09-01,62406
1975-10-01,62635
1975-11-01,62777
1975-12-01,63072
1976-01-01,63537
1976-02-01,63836
1976-03-01,64062
1976-04-01,64307
1976-05-01,64340
1976-06-01,64413
1976-07-01,64554
1976-08-01,64697
1976-09-01,64921
1976-10-01,64877
1976-11-01,65164
1976-12-01,65373
1977-01-01,65636
1977-02-01,65932
1977-03-01,66341
1977-04-01,66654
1977-05-01,66957
1977-06-01,67281
1977-07-01,67537
1977-08-01,67746
1977-09-01,68129
1977-10-01,68331
1977-11-01,68658
1977-12-01,68870
1978-01-01,68984
1978-02-01,69277
1978-03-01,69730
1978-04-01,70366
1978-05-01,70675
1978-06-01,71099
1978-07-01,71304
1978-08-01,71590
1978-09-01,71799
1978-10-01,72096
1978-11-01,72497
1978-12-01,72762
1979-01-01,72873
1979-02-01,73107
1979-03-01,73524
1979-04-01,73441
1979-05-01,73801
1979-06-01,74064
1979-07-01,74065
1979-08-01,74068
1979-09-01,74197
1979-10-01,74346
1979-11-01,74403
1979-12-01,74493
1980-01-01,74601
1980-02-01,74656
1980-03-01,74698
1980-04-01,74267
1980-05-01,73965
1980-06-01,73658
1980-07-01,73419
1980-08-01,73687
1980-09-01,73880
1980-10-01,74105
1980-11-01,74357
1980-12-01,74570
1981-01-01,74677
1981-02-01,74759
1981-03-01,74918
1981-04-01,75023
1981-05-01,75095
1981-06-01,75331
1981-07-01,75427
1981-08-01,75456
1981-09-01,75448
1981-10-01,75311
1981-11-01,75093
1981-12-01,74820
1982-01-01,74526
1982-02-01,74551
1982-03-01,74408
1982-04-01,74142
1982-05-01,74104
1982-06-01,73848
1982-07-01,73632
1982-08-01,73434
1982-09-01,73260
1982-10-01,72950
1982-11-01,72806
1982-12-01,72788
1983-01-01,72970
1983-02-01,72914
1983-03-01,73085
1983-04-01,73376
1983-05-01,73638
1983-06-01,74002
1983-07-01,74429
1983-08-01,74116
1983-09-01,75205
1983-10-01,75532
1983-11-01,75874
1983-12-01,76219
1984-01-01,76663
1984-02-01,77129
1984-03-01,77399
1984-04-01,77717
1984-05-01,77997
1984-06-01,78352
1984-07-01,78620
1984-08-01,78810
1984-09-01,79089
1984-10-01,79356
1984-11-01,79668
1984-12-01,79825
1985-01-01,80037
1985-02-01,80148
1985-03-01,80448
1985-04-01,80609
1985-05-01,80839
1985-06-01,80961
1985-07-01,81029
1985-08-01,81223
1985-09-01,81407
1985-10-01,81579
1985-11-01,81768
1985-12-01,81915
1986-01-01,82019
1986-02-01,82082
1986-03-01,82180
1986-04-01,82357
1986-05-01,82459
1986-06-01,82376
1986-07-01,82694
1986-08-01,82787
1986-09-01,83024
1986-10-01,83151
1986-11-01,83301
1986-12-01,83490
1987-01-01,83638
1987-02-01,83879
1987-03-01,84100
1987-04-01,84393
1987-05-01,84616
1987-06-01,84776
1987-07-01,85087
1987-08-01,85246
1987-09-01,85511
1987-10-01,85869
1987-11-01,86071
1987-12-01,86317
1988-01-01,86393
1988-02-01,86822
1988-03-01,87040
1988-04-01,87280
1988-05-01,87480
1988-06-01,87809
1988-07-01,88052
1988-08-01,88126
1988-09-01,88375
1988-10-01,88607
1988-11-01,88870
1988-12-01,89170
1989-01-01,89394
1989-02-01,89614
1989-03-01,89797
1989-04-01,89952
1989-05-01,90034
1989-06-01,90114
1989-07-01,90161
