DATE,CES9091000001
1990-12-01,3110.0
1991-01-01,3098.0
1991-02-01,3096.0
1991-03-01,3095.0
1991-04-01,3086.0
1991-05-01,3096.0
1991-06-01,3103.0
1991-07-01,3133.0
1991-08-01,3121.0
1991-09-01,3121.0
1991-10-01,3131.0
1991-11-01,3128.0
1991-12-01,3121.0
1992-01-01,3137.0
1992-02-01,3121.0
1992-03-01,3121.0
1992-04-01,3117.0
1992-05-01,3119.0
1992-06-01,3117.0
1992-07-01,3117.0
1992-08-01,3109.0
1992-09-01,3107.0
1992-10-01,3090.0
1992-11-01,3083.0
1992-12-01,3101.0
1993-01-01,3092.0
1993-02-01,3079.0
1993-03-01,3071.0
1993-04-01,3069.0
1993-05-01,3065.0
1993-06-01,3067.0
1993-07-01,3071.0
1993-08-01,3064.0
1993-09-01,3057.0
1993-10-01,3039.0
1993-11-01,3036.0
1993-12-01,3037.0
1994-01-01,3053.0
1994-02-01,3046.0
1994-03-01,3043.0
1994-04-01,3034.0
1994-05-01,3027.0
1994-06-01,3017.0
1994-07-01,3009.0
1994-08-01,3002.0
1994-09-01,3002.0
1994-10-01,2997.0
1994-11-01,2984.0
1994-12-01,2983.0
1995-01-01,2973.0
1995-02-01,2970.0
1995-03-01,2965.0
1995-04-01,2964.0
1995-05-01,2959.0
1995-06-01,2959.0
1995-07-01,2949.0
1995-08-01,2943.0
1995-09-01,2929.0
1995-10-01,2934.0
1995-11-01,2913.0
1995-12-01,2903.0
1996-01-01,2900.0
1996-02-01,2905.0
1996-03-01,2900.0
1996-04-01,2894.0
1996-05-01,2887.0
1996-06-01,2884.0
1996-07-01,2877.0
1996-08-01,2873.0
1996-09-01,2866.0
1996-10-01,2845.0
1996-11-01,2845.0
1996-12-01,2839.0
1997-01-01,2845.0
1997-02-01,2838.0
1997-03-01,2836.0
1997-04-01,2816.0
1997-05-01,2813.0
1997-06-01,2815.0
1997-07-01,2778.0
1997-08-01,2777.0
1997-09-01,2772.0
1997-10-01,2791.0
1997-11-01,2796.0
1997-12-01,2789.0
1998-01-01,2772.0
1998-02-01,2768.0
1998-03-01,2762.0
1998-04-01,2752.0
1998-05-01,2762.0
1998-06-01,2762.0
1998-07-01,2771.0
1998-08-01,2776.0
1998-09-01,2772.0
1998-10-01,2778.0
1998-11-01,2790.0
1998-12-01,2785.0
1999-01-01,2765.0
1999-02-01,2773.0
1999-03-01,2767.0
1999-04-01,2793.0
1999-05-01,2764.0
1999-06-01,2766.0
1999-07-01,2765.0
1999-08-01,2773.0
1999-09-01,2766.0
1999-10-01,2766.0
1999-11-01,2767.0
1999-12-01,2771.0
2000-01-01,2768.0
2000-02-01,2796.0
2000-03-01,2884.0
2000-04-01,2911.0
2000-05-01,3244.0
2000-06-01,3004.0
2000-07-01,2942.0
2000-08-01,2868.0
2000-09-01,2745.0
2000-10-01,2736.0
2000-11-01,2737.0
2000-12-01,2745.0
2001-01-01,2753.0
2001-02-01,2752.0
2001-03-01,2755.0
2001-04-01,2755.0
2001-05-01,2758.0
2001-06-01,2780.0
2001-07-01,2783.0
2001-08-01,2780.0
2001-09-01,2770.0
2001-10-01,2763.0
2001-11-01,2759.0
2001-12-01,2751.0
2002-01-01,2756.0
2002-02-01,2757.0
2002-03-01,2755.0
2002-04-01,2755.0
2002-05-01,2768.0
2002-06-01,2768.0
2002-07-01,2757.0
2002-08-01,2762.0
2002-09-01,2768.0
2002-10-01,2780.0
2002-11-01,2781.0
2002-12-01,2780.0
2003-01-01,2789.0
2003-02-01,2789.0
2003-03-01,2791.0
2003-04-01,2769.0
2003-05-01,2753.0
2003-06-01,2763.0
2003-07-01,2760.0
2003-08-01,2751.0
2003-09-01,2749.0
2003-10-01,2742.0
2003-11-01,2728.0
2003-12-01,2740.0
2004-01-01,2732.0
2004-02-01,2731.0
2004-03-01,2731.0
2004-04-01,2753.0
2004-05-01,2730.0
2004-06-01,2730.0
2004-07-01,2729.0
2004-08-01,2729.0
2004-09-01,2729.0
2004-10-01,2724.0
2004-11-01,2727.0
2004-12-01,2728.0
2005-01-01,2727.0
2005-02-01,2728.0
2005-03-01,2733.0
2005-04-01,2725.0
2005-05-01,2734.0
2005-06-01,2733.0
2005-07-01,2728.0
2005-08-01,2731.0
2005-09-01,2732.0
2005-10-01,2735.0
2005-11-01,2739.0
2005-12-01,2733.0
2006-01-01,2727.0
2006-02-01,2733.0
2006-03-01,2733.0
2006-04-01,2733.0
2006-05-01,2734.0
2006-06-01,2736.0
2006-07-01,2740.0
2006-08-01,2733.0
2006-09-01,2732.0
2006-10-01,2731.0
2006-11-01,2729.0
2006-12-01,2730.0
2007-01-01,2731.0
2007-02-01,2732.0
2007-03-01,2731.0
2007-04-01,2732.0
2007-05-01,2733.0
2007-06-01,2729.0
2007-07-01,2727.0
2007-08-01,2738.0
2007-09-01,2737.0
2007-10-01,2734.0
2007-11-01,2744.0
2007-12-01,2756.0
2008-01-01,2738.0
2008-02-01,2747.0
2008-03-01,2752.0
2008-04-01,2755.0
2008-05-01,2757.0
2008-06-01,2759.0
2008-07-01,2767.0
2008-08-01,2766.0
2008-09-01,2768.0
2008-10-01,2772.0
2008-11-01,2778.0
2008-12-01,2775.0
2009-01-01,2786.0
2009-02-01,2795.0
2009-03-01,2797.0
2009-04-01,2922.0
2009-05-01,2860.0
2009-06-01,2814.0
2009-07-01,2826.0
2009-08-01,2825.0
2009-09-01,2826.0
2009-10-01,2843.0
2009-11-01,2842.0
2009-12-01,2831.0
2010-01-01,2860.0
2010-02-01,2872.0
2010-03-01,2923.0
2010-04-01,2984.0
2010-05-01,3416.0
2010-06-01,3193.0
2010-07-01,3051.0
2010-08-01,2945.0
2010-09-01,2869.0
2010-10-01,2866.0
2010-11-01,2866.0
2010-12-01,2870.0
2011-01-01,2874.0
2011-02-01,2876.0
2011-03-01,2877.0
2011-04-01,2870.0
2011-05-01,2871.0
2011-06-01,2860.0
2011-07-01,2862.0
2011-08-01,2850.0
2011-09-01,2846.0
2011-10-01,2850.0
2011-11-01,2842.0
2011-12-01,2836.0
2012-01-01,2833.0
2012-02-01,2828.0
2012-03-01,2828.0
2012-04-01,2826.0
2012-05-01,2823.0
2012-06-01,2824.0
2012-07-01,2815.0
2012-08-01,2820.0
2012-09-01,2822.0
2012-10-01,2824.0
2012-11-01,2809.0
2012-12-01,2806.0
2013-01-01,2806.0
2013-02-01,2806.0
2013-03-01,2794.0
2013-04-01,2794.0
2013-05-01,2775.0
2013-06-01,2771.0
2013-07-01,2761.0
2013-08-01,2754.0
2013-09-01,2753.0
2013-10-01,2739.0
2013-11-01,2746.0
2013-12-01,2741.0
2014-01-01,2734.0
2014-02-01,2730.0
2014-03-01,2729.0
2014-04-01,2729.0
2014-05-01,2727.0
2014-06-01,2731.0
2014-07-01,2730.0
2014-08-01,2736.0
2014-09-01,2737.0
2014-10-01,2736.0
2014-11-01,2741.0
2014-12-01,2744.0
2015-01-01,2742.0
2015-02-01,2747.0
2015-03-01,2748.0
2015-04-01,2760.0
2015-05-01,2752.0
2015-06-01,2755.0
2015-07-01,2757.0
2015-08-01,2759.0
2015-09-01,2760.0
2015-10-01,2757.0
2015-11-01,2767.0
2015-12-01,2775.0
2016-01-01,2768.0
2016-02-01,2778.0
2016-03-01,2782.0
2016-04-01,2781.0
2016-05-01,2791.0
2016-06-01,2796.0
2016-07-01,2801.0
2016-08-01,2804.0
2016-09-01,2808.0
2016-10-01,2807.0
2016-11-01,2803.0
2016-12-01,2810.0
2017-01-01,2814.0
2017-02-01,2810.0
2017-03-01,2808.0
2017-04-01,2801.0
2017-05-01,2807.0
2017-06-01,2805.0
2017-07-01,2807.0
2017-08-01,2803.0
2017-09-01,2803.0
2017-10-01,2807.0
2017-11-01,2803.0
2017-12-01,2795.0
2018-01-01,2797.0
2018-02-01,2792.0
2018-03-01,2791.0
2018-04-01,2792.0
2018-05-01,2793.0
2018-06-01,2795.0
2018-07-01,2796.0
2018-08-01,2796.0
