DATE,LNS13023622
1990-08-01,48.6
1990-09-01,49.2
1990-10-01,50.1
1990-11-01,51.2
1990-12-01,50
1991-01-01,52.7
1991-02-01,54
1991-03-01,54.5
1991-04-01,54.3
1991-05-01,53.6
1991-06-01,54.2
1991-07-01,55.1
1991-08-01,54.8
1991-09-01,55.4
1991-10-01,54.2
1991-11-01,54.5
1991-12-01,55.5
1992-01-01,54
1992-02-01,57
1992-03-01,57.4
1992-04-01,57.3
1992-05-01,57.7
1992-06-01,56
1992-07-01,55.7
1992-08-01,55
1992-09-01,55.7
1992-10-01,57.7
1992-11-01,55.2
1992-12-01,54.1
1993-01-01,53.6
1993-02-01,52.8
1993-03-01,55.1
1993-04-01,55
1993-05-01,53.4
1993-06-01,54.4
1993-07-01,55
1993-08-01,55.5
1993-09-01,54.7
1993-10-01,54.6
1993-11-01,52.5
1993-12-01,53.3
1994-01-01,49.6
1994-02-01,48.9
1994-03-01,48.1
1994-04-01,45.3
1994-05-01,45.4
1994-06-01,47.6
1994-07-01,48.1
1994-08-01,47.3
1994-09-01,47.1
1994-10-01,47.2
1994-11-01,47.9
1994-12-01,47.9
1995-01-01,48
1995-02-01,47.1
1995-03-01,47.1
1995-04-01,45.3
1995-05-01,47.6
1995-06-01,46.4
1995-07-01,47
1995-08-01,46.4
1995-09-01,45.9
1995-10-01,48.1
1995-11-01,47.5
1995-12-01,46.9
1996-01-01,47.6
1996-02-01,48.5
1996-03-01,47.6
1996-04-01,49.2
1996-05-01,46.4
1996-06-01,47.6
1996-07-01,45.9
1996-08-01,44.2
1996-09-01,45.8
1996-10-01,45
1996-11-01,45.7
1996-12-01,43.7
1997-01-01,45
1997-02-01,44.5
1997-03-01,45
1997-04-01,44.7
1997-05-01,44.3
1997-06-01,45.7
1997-07-01,44
1997-08-01,44.8
1997-09-01,44.6
1997-10-01,45.3
1997-11-01,45.6
1997-12-01,47
1998-01-01,44.5
1998-02-01,44.6
1998-03-01,46.1
1998-04-01,45.2
1998-05-01,46.1
1998-06-01,45.4
1998-07-01,45.7
1998-08-01,45.3
1998-09-01,45.5
1998-10-01,44.9
1998-11-01,45.6
1998-12-01,46.8
1999-01-01,45.6
1999-02-01,44.7
1999-03-01,45
1999-04-01,45
1999-05-01,45.4
1999-06-01,44.6
1999-07-01,45.1
1999-08-01,45.1
1999-09-01,43.7
1999-10-01,43.7
1999-11-01,43.8
1999-12-01,42.7
2000-01-01,44
2000-02-01,45.5
2000-03-01,43.8
2000-04-01,42.2
2000-05-01,42.7
2000-06-01,43.6
2000-07-01,43.4
2000-08-01,45
2000-09-01,45.6
2000-10-01,44.3
2000-11-01,44.3
2000-12-01,45.9
2001-01-01,46.4
2001-02-01,47.9
2001-03-01,49.7
2001-04-01,49.4
2001-05-01,50.6
2001-06-01,51
2001-07-01,51.2
2001-08-01,49.4
2001-09-01,51.3
2001-10-01,55.4
2001-11-01,55.7
2001-12-01,53.9
2002-01-01,55.2
2002-02-01,54.6
2002-03-01,53.3
2002-04-01,54.1
2002-05-01,55.1
2002-06-01,55.2
2002-07-01,55.1
2002-08-01,55
2002-09-01,55.4
2002-10-01,56
2002-11-01,55.6
2002-12-01,55.2
2003-01-01,55.2
2003-02-01,56
2003-03-01,55.2
2003-04-01,54.5
2003-05-01,56.6
2003-06-01,54
2003-07-01,55.4
2003-08-01,56
2003-09-01,55.7
2003-10-01,55.1
2003-11-01,54.4
2003-12-01,54.1
2004-01-01,52
2004-02-01,52.4
2004-03-01,53.6
2004-04-01,53.2
2004-05-01,51
2004-06-01,49.9
2004-07-01,52.1
2004-08-01,50.1
2004-09-01,50.9
2004-10-01,50.7
2004-11-01,51.1
2004-12-01,50.6
2005-01-01,51.7
2005-02-01,48.7
2005-03-01,48.6
2005-04-01,47.3
2005-05-01,47.2
2005-06-01,48.5
2005-07-01,48.2
2005-08-01,47.2
2005-09-01,49.4
2005-10-01,47.8
2005-11-01,46.5
2005-12-01,47.8
2006-01-01,47.5
2006-02-01,46.3
2006-03-01,48.3
2006-04-01,49.2
2006-05-01,49.7
2006-06-01,48.1
2006-07-01,46.2
2006-08-01,46.5
2006-09-01,46.7
2006-10-01,46.4
2006-11-01,47.5
2006-12-01,47.9
2007-01-01,48.6
2007-02-01,49.1
2007-03-01,47.2
2007-04-01,48.8
2007-05-01,49.5
2007-06-01,48.6
2007-07-01,51.3
2007-08-01,51.4
2007-09-01,49.5
2007-10-01,51
2007-11-01,50.5
2007-12-01,50.5
2008-01-01,51
2008-02-01,52.1
2008-03-01,53.2
2008-04-01,53.1
2008-05-01,50.6
2008-06-01,51.2
2008-07-01,50.9
2008-08-01,52.4
2008-09-01,54.4
2008-10-01,56.6
2008-11-01,58.7
2008-12-01,59
2009-01-01,62.4
2009-02-01,62.9
2009-03-01,64.1
2009-04-01,64.8
2009-05-01,65
2009-06-01,64.9
2009-07-01,64.7
2009-08-01,64.9
2009-09-01,65.3
2009-10-01,64.7
2009-11-01,63.9
2009-12-01,63.4
2010-01-01,61.9
2010-02-01,63.4
2010-03-01,63
2010-04-01,61.5
2010-05-01,62.4
2010-06-01,62.8
2010-07-01,62.1
2010-08-01,62.3
2010-09-01,62.8
2010-10-01,61.3
2010-11-01,63
2010-12-01,61.2
2011-01-01,60.1
2011-02-01,60.2
2011-03-01,60.3
2011-04-01,59.4
2011-05-01,60
2011-06-01,58.8
2011-07-01,59.2
2011-08-01,58.2
2011-09-01,58
2011-10-01,57.9
2011-11-01,57.5
2011-12-01,57.5
2012-01-01,57.1
2012-02-01,55.4
2012-03-01,55
2012-04-01,54.2
2012-05-01,55.3
2012-06-01,56.2
2012-07-01,56.2
2012-08-01,55.2
2012-09-01,54.3
2012-10-01,53.8
2012-11-01,53.7
2012-12-01,52.6
2013-01-01,53.8
2013-02-01,54
2013-03-01,53.4
2013-04-01,54.1
2013-05-01,52.4
2013-06-01,52
2013-07-01,51.7
2013-08-01,52.6
2013-09-01,52.3
2013-10-01,54.9
2013-11-01,53.1
2013-12-01,51.8
2014-01-01,52.9
2014-02-01,52.1
2014-03-01,52.1
2014-04-01,53.4
2014-05-01,50.8
2014-06-01,50.7
2014-07-01,49.6
2014-08-01,49.8
2014-09-01,48.9
2014-10-01,48.2
2014-11-01,49.2
2014-12-01,49.4
2015-01-01,47.8
2015-02-01,48.5
2015-03-01,49
2015-04-01,48.5
2015-05-01,49.8
2015-06-01,49
2015-07-01,49.7
2015-08-01,49.9
2015-09-01,48.7
2015-10-01,49.7
2015-11-01,48.9
2015-12-01,47.8
2016-01-01,47.6
2016-02-01,48.1
2016-03-01,48.2
2016-04-01,48.6
2016-05-01,48.5
2016-06-01,48.4
2016-07-01,48.5
2016-08-01,48.4
2016-09-01,49.5
2016-10-01,48
2016-11-01,47.4
2016-12-01,48.3
2017-01-01,49.2
2017-02-01,49.5
2017-03-01,49.2
2017-04-01,50
2017-05-01,48.4
2017-06-01,49.3
2017-07-01,48.7
2017-08-01,49.4
2017-09-01,48.9
2017-10-01,48.9
2017-11-01,47.6
2017-12-01,49.7
2018-01-01,49.6
2018-02-01,48.9
2018-03-01,47.7
2018-04-01,46.2
2018-05-01,46.3
2018-06-01,46.9
2018-07-01,48.3
2018-08-01,46.6
