DATE,NROUST
1984-07-01,6.06
1984-10-01,6.05
1985-01-01,6.04
1985-04-01,6.03
1985-07-01,6.02
1985-10-01,6.01
1986-01-01,6.00
1986-04-01,5.99
1986-07-01,5.97
1986-10-01,5.96
1987-01-01,5.95
1987-04-01,5.93
1987-07-01,5.92
1987-10-01,5.90
1988-01-01,5.89
1988-04-01,5.87
1988-07-01,5.85
1988-10-01,5.83
1989-01-01,5.81
1989-04-01,5.79
1989-07-01,5.77
1989-10-01,5.75
1990-01-01,5.73
1990-04-01,5.71
1990-07-01,5.69
1990-10-01,5.67
1991-01-01,5.66
1991-04-01,5.64
1991-07-01,5.62
1991-10-01,5.60
1992-01-01,5.59
1992-04-01,5.57
1992-07-01,5.55
1992-10-01,5.54
1993-01-01,5.52
1993-04-01,5.51
1993-07-01,5.49
1993-10-01,5.48
1994-01-01,5.47
1994-04-01,5.45
1994-07-01,5.44
1994-10-01,5.43
1995-01-01,5.42
1995-04-01,5.41
1995-07-01,5.40
1995-10-01,5.39
1996-01-01,5.38
1996-04-01,5.37
1996-07-01,5.36
1996-10-01,5.35
1997-01-01,5.34
1997-04-01,5.33
1997-07-01,5.32
1997-10-01,5.31
1998-01-01,5.30
1998-04-01,5.29
1998-07-01,5.29
1998-10-01,5.28
1999-01-01,5.27
1999-04-01,5.26
1999-07-01,5.25
1999-10-01,5.24
2000-01-01,5.22
2000-04-01,5.21
2000-07-01,5.20
2000-10-01,5.19
2001-01-01,5.18
2001-04-01,5.17
2001-07-01,5.16
2001-10-01,5.15
2002-01-01,5.14
2002-04-01,5.13
2002-07-01,5.12
2002-10-01,5.11
2003-01-01,5.10
2003-04-01,5.09
2003-07-01,5.08
2003-10-01,5.07
2004-01-01,5.06
2004-04-01,5.05
2004-07-01,5.04
2004-10-01,5.03
2005-01-01,5.02
2005-04-01,5.01
2005-07-01,5.00
2005-10-01,5.00
2006-01-01,4.99
2006-04-01,4.99
2006-07-01,4.98
2006-10-01,4.97
2007-01-01,4.95
2007-04-01,4.93
2007-07-01,4.92
2007-10-01,4.90
2008-01-01,4.89
2008-04-01,4.94
2008-07-01,4.96
2008-10-01,5.07
2009-01-01,5.18
2009-04-01,5.25
2009-07-01,5.36
2009-10-01,5.48
2010-01-01,5.62
2010-04-01,5.66
2010-07-01,5.69
2010-10-01,5.73
2011-01-01,5.76
2011-04-01,5.78
2011-07-01,5.79
2011-10-01,5.80
2012-01-01,5.77
2012-04-01,5.73
2012-07-01,5.66
2012-10-01,5.60
2013-01-01,5.46
2013-04-01,5.31
2013-07-01,5.20
2013-10-01,5.09
2014-01-01,4.98
2014-04-01,4.89
2014-07-01,4.82
2014-10-01,4.76
2015-01-01,4.72
2015-04-01,4.69
2015-07-01,4.66
2015-10-01,4.64
2016-01-01,4.63
2016-04-01,4.62
2016-07-01,4.62
2016-10-01,4.62
2017-01-01,4.62
2017-04-01,4.63
2017-07-01,4.62
2017-10-01,4.62
2018-01-01,4.62
2018-04-01,4.62
2018-07-01,4.62
2018-10-01,4.61
2019-01-01,4.61
2019-04-01,4.61
2019-07-01,4.61
2019-10-01,4.61
2020-01-01,4.61
2020-04-01,4.61
2020-07-01,4.60
2020-10-01,4.60
2021-01-01,4.60
2021-04-01,4.60
2021-07-01,4.60
2021-10-01,4.60
2022-01-01,4.59
2022-04-01,4.59
2022-07-01,4.59
2022-10-01,4.59
2023-01-01,4.59
2023-04-01,4.59
2023-07-01,4.59
2023-10-01,4.58
2024-01-01,4.58
2024-04-01,4.58
2024-07-01,4.58
2024-10-01,4.58
2025-01-01,4.58
2025-04-01,4.57
2025-07-01,4.57
2025-10-01,4.57
2026-01-01,4.57
2026-04-01,4.57
2026-07-01,4.57
2026-10-01,4.57
2027-01-01,4.56
2027-04-01,4.56
2027-07-01,4.56
2027-10-01,4.56
2028-01-01,4.56
2028-04-01,4.56
2028-07-01,4.55
2028-10-01,4.55
